#va	size	idbname	ported	port_syms	attempted	att_syms
0x227f50	0x6c	sub_227F50	-	-	-	-
0x227fc0	0x8c	sub_227FC0	DEFN	menuconfig:MenuConfigOpen	-	-
0x228050	0xc0	sub_228050	DEFN	menutext:MainMenuStep	-	-
0x228110	0x164	sub_228110	DEFN	menutext:DrawMainMenu,menutext:-,menutext:-	-	-
0x228278	0x124	sub_228278	REF	menutext:-	-	-
0x2283a0	0x30	sub_2283A0	DEFN	menutext:MenuTextFrame	-	-
0x2283d0	0x20	sub_2283D0	REF	menu:-,menuback:-	Y	screenPageTick
0x2283f0	0x6c	sub_2283F0	REF	menu:-	-	-
0x228460	0x160	sub_228460	REF	menuconfig:-,menuconfig:-,menuconfig:-,menutext:-	-	-
0x2285c0	0x9c	sub_2285C0	REF	menuconfig:-	-	-
0x228660	0xa8	sub_228660	REF	menutext:-	-	-
0x228708	0x9c	sub_228708	DEFN	menutext:ConfigMenuWidest,menutext:-	-	-
0x2287a8	0x8	sub_2287A8	-	-	-	-
0x2287b0	0x20	sub_2287B0	-	-	Y	initBgTimer
0x2287d0	0x10	sub_2287D0	REF	menuback:-	Y	tickFrameCounter
0x2287e0	0x58	sub_2287E0	REF	menuback:-	-	-
0x228838	0x60	sub_228838	REF	menuback:-	-	-
0x228898	0x24	sub_228898	REF	menuback:-	-	-
0x2288c0	0x5b4	sub_2288C0	-	-	-	-
0x228e78	0x2b4	sub_228E78	REF	menuback:-	-	-
0x229130	0xb8	sub_229130	DEFN	menuback:DrawKabeRibbon	-	-
0x2291e8	0x44	sub_2291E8	REF	menuback:-,menuconfig:-	Y	bgTimerOpen
0x229230	0x44	sub_229230	-	-	Y	bgTimerClose
0x229278	0x54	sub_229278	-	-	Y	bgFadeUpdate
0x2292d0	0x84	sub_2292D0	DEFN	menuback:DrawKabe	-	-
0x229358	0x88	sub_229358	REF	menuback:-	-	-
0x2293e0	0xd4	sub_2293E0	-	-	-	-
0x2294b8	0x1e0	sub_2294B8	-	-	-	-
0x229698	0xb8	TEXTURES_229698	REF	menu:-	Y	initTexC
0x229750	0x50	setTexCOffset_8b	-	-	Y	setTexCOffset
0x2297a0	0x18	getTexC	-	-	Y	getTexC
0x2297b8	0x18	getTexCOffset	-	-	Y	getTexCOffset
0x2297d0	0x18	sub_2297D0	-	-	Y	gsVramAlloc
0x2297e8	0xc0	sub_2297E8	-	-	-	-
0x2298a8	0x114	sub_2298A8	-	-	-	-
0x2299c0	0x58	sub_2299C0	DEFN	menutext:osdFlatRect,menuback:-	Y	drawSprite
0x229a18	0x30	sub_229A18	-	-	-	-
0x229a48	0x24	sub_229A48	-	-	-	-
0x229a70	0x34	sub_229A70	-	-	-	-
0x229aa8	0x8c	sub_229AA8	-	-	-	-
0x229b38	0x8c	sub_229B38	-	-	-	-
0x229bc8	0x64	sub_229BC8	-	-	-	-
0x229c30	0x64	sub_229C30	-	-	-	-
0x229c98	0x398	sub_229C98	-	-	-	-
0x22a030	0x90	sub_22A030	-	-	-	-
